# Dyanimc Analyis: Deformation at t = 200 [s]
# x0 x y z 
0.00000000 0.00000000 0.00000000 0.00000000
4.62962963 4.62963359 0.00255279 -0.31204743
9.25925926 9.25926716 0.00506649 -0.62015918
13.88888889 13.88890073 0.00754758 -0.92515406
18.51851852 18.51853429 0.00999455 -1.22693837
23.14814815 23.14816786 0.01240878 -1.52562666
27.77777778 27.77780143 0.01478858 -1.82097444
32.40740741 32.40743502 0.01713568 -2.11333508
37.03703704 37.03706863 0.01945159 -2.40265191
41.66666667 41.66670225 0.02173511 -2.68885787
46.29629630 46.29633589 0.02398566 -2.97174830
50.92592593 50.92596955 0.02620364 -3.25139151
55.55555556 55.55560324 0.02838687 -3.52720330
60.18518519 60.18523695 0.03053702 -3.79976447
64.81481481 64.81487069 0.03265148 -4.06905218
69.44444444 69.44450446 0.03472923 -4.33508003
74.07407407 74.07413825 0.03676953 -4.59808809
78.70370370 78.70377207 0.03876665 -4.85796901
83.33333333 83.33340591 0.04072142 -5.11481516
87.96296296 87.96303978 0.04263201 -5.36864865
92.59259259 92.59267366 0.04449768 -5.61924613
97.22222222 97.22230756 0.04631617 -5.86645806
101.85185185 101.85194148 0.04808714 -6.10997920
106.48148148 106.48157541 0.04980451 -6.34946886
111.11111111 111.11120935 0.05147034 -6.58477102
115.74074074 115.74084331 0.05308404 -6.81564455
120.37037037 120.37047729 0.05464506 -7.04164025
125.00000000 125.00011128 0.05614956 -7.26263626
129.62962963 129.62974530 0.05759762 -7.47787485
134.25925926 134.25937933 0.05899203 -7.68726598
138.88888889 138.88901338 0.06033384 -7.89049755
143.51851852 143.51864745 0.06162315 -8.08729294
148.14814815 148.14828154 0.06285955 -8.27730490
152.77777778 152.77791566 0.06403969 -8.46019135
157.40740741 157.40754979 0.06516640 -8.63620810
162.03703704 162.03718394 0.06624029 -8.80554304
166.66666667 166.66681810 0.06726264 -8.96796868
171.29629630 171.29645227 0.06823400 -9.12349970
175.92592593 175.92608645 0.06915308 -9.27187792
180.55555556 180.55572062 0.07001810 -9.41237574
185.18518519 185.18535480 0.07083094 -9.54495907
189.81481481 189.81498899 0.07158945 -9.66941679
194.44444444 194.44462318 0.07229320 -9.78557310
199.07407407 199.07425737 0.07294434 -9.89315855
203.70370370 203.70389156 0.07353552 -9.99157889
208.33333333 208.33352575 0.07406956 -10.08119229
212.96296296 212.96315995 0.07454632 -10.16166603
217.59259259 217.59279415 0.07496523 -10.23296235
222.22222222 222.22242836 0.07532517 -10.29467696
226.85185185 226.85206257 0.07562819 -10.34708700
231.48148148 231.48169679 0.07586916 -10.38970448
236.11111111 236.11133100 0.07605503 -10.42282936
240.74074074 240.74096520 0.07618668 -10.44664099
245.37037037 245.37059937 0.07627005 -10.46155401
250.00000000 250.00023342 0.07630963 -10.46787321
