# Eigenmode: 2
# Frequency: 0.07
# Period: 13.84
# x0 x y z 
0.00000000 0.00000000 0.00000000 0.00000000
4.62962963 4.62962963 0.00000000 0.00001636
9.25925926 9.25925926 0.00000000 0.00003260
13.88888889 13.88888889 0.00000000 0.00004858
18.51851852 18.51851852 0.00000000 0.00006420
23.14814815 23.14814815 0.00000000 0.00007932
27.77777778 27.77777778 0.00000000 0.00009385
32.40740741 32.40740741 0.00000000 0.00010766
37.03703704 37.03703704 0.00000000 0.00012065
41.66666667 41.66666667 0.00000000 0.00013273
46.29629630 46.29629630 0.00000000 0.00014380
50.92592593 50.92592593 0.00000000 0.00015377
55.55555556 55.55555556 0.00000000 0.00016258
60.18518519 60.18518519 0.00000000 0.00017016
64.81481481 64.81481481 0.00000000 0.00017645
69.44444444 69.44444444 0.00000000 0.00018139
74.07407407 74.07407407 0.00000000 0.00018496
78.70370370 78.70370370 0.00000000 0.00018713
83.33333333 83.33333333 0.00000000 0.00018788
87.96296296 87.96296296 0.00000000 0.00018720
92.59259259 92.59259259 0.00000000 0.00018510
97.22222222 97.22222222 0.00000000 0.00018160
101.85185185 101.85185185 0.00000000 0.00017672
106.48148148 106.48148148 0.00000000 0.00017049
111.11111111 111.11111111 0.00000000 0.00016298
115.74074074 115.74074074 0.00000000 0.00015423
120.37037037 120.37037037 0.00000000 0.00014430
125.00000000 125.00000000 0.00000000 0.00013328
129.62962963 129.62962963 0.00000000 0.00012125
134.25925926 134.25925926 0.00000000 0.00010830
138.88888889 138.88888889 0.00000000 0.00009453
143.51851852 143.51851852 0.00000000 0.00008004
148.14814815 148.14814815 0.00000000 0.00006494
152.77777778 152.77777778 0.00000000 0.00004934
157.40740741 157.40740741 0.00000000 0.00003337
162.03703704 162.03703704 0.00000000 0.00001715
166.66666667 166.66666667 0.00000000 0.00000079
171.29629630 171.29629630 0.00000000 -0.00001558
175.92592593 175.92592593 0.00000000 -0.00003183
180.55555556 180.55555556 0.00000000 -0.00004784
185.18518519 185.18518519 0.00000000 -0.00006350
189.81481481 189.81481481 0.00000000 -0.00007867
194.44444444 194.44444444 0.00000000 -0.00009325
199.07407407 199.07407407 0.00000000 -0.00010713
203.70370370 203.70370370 0.00000000 -0.00012020
208.33333333 208.33333333 0.00000000 -0.00013236
212.96296296 212.96296296 0.00000000 -0.00014352
217.59259259 217.59259259 0.00000000 -0.00015359
222.22222222 222.22222222 0.00000000 -0.00016251
226.85185185 226.85185185 0.00000000 -0.00017019
231.48148148 231.48148148 0.00000000 -0.00017659
236.11111111 236.11111111 0.00000000 -0.00018166
240.74074074 240.74074074 0.00000000 -0.00018535
245.37037037 245.37037037 0.00000000 -0.00018764
250.00000000 250.00000000 0.00000000 -0.00018851
