# Spatial statistics process output
# Kratos version               : 9.2."2"-5dfe714-Release-x86_64
# Timestamp                    : 2023-02-16 13:19:57.431125
# Method name(s)               : variance, max, distribution
# Variable info(s)             : CFL_NUMBER[magnitude, element_non_historical]
# Modelpart name               : FluidModelPart.fluid_computational_model_part
# Output control variable name : STEP
# ----------------------------------------------------------------------
# Headers:
#"TIME" "STEP" "mean" "variance" "max_value" "max_id"                    "group_below_min {mean|variance}"                            "group_1 {mean|variance}"                    "group_above_max {mean|variance}"
   0.30     10   0.02       0.00        0.20    66999  2.93e+06 [#] =  1.00e+02 [%] <   1.00 {   0.02 |   0.00 }      0 [#] =   0.00 [%] <   2.50 {   0.00 |   0.00 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   0.60     20   0.03       0.00        0.38  2.01e+06  2.93e+06 [#] =  1.00e+02 [%] <   1.00 {   0.03 |   0.00 }      0 [#] =   0.00 [%] <   2.50 {   0.00 |   0.00 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   0.90     30   0.05       0.00        0.60  2.01e+06  2.93e+06 [#] =  1.00e+02 [%] <   1.00 {   0.05 |   0.00 }      0 [#] =   0.00 [%] <   2.50 {   0.00 |   0.00 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   1.20     40   0.07       0.00        0.80  1.56e+05  2.93e+06 [#] =  1.00e+02 [%] <   1.00 {   0.07 |   0.00 }      0 [#] =   0.00 [%] <   2.50 {   0.00 |   0.00 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   1.50     50   0.08       0.00        1.02  1.56e+05  2.93e+06 [#] =  1.00e+02 [%] <   1.00 {   0.08 |   0.00 }      1 [#] =   0.00 [%] <   2.50 {   1.02 |   0.00 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   1.80     60   0.10       0.00        1.23  1.56e+05  2.93e+06 [#] =  1.00e+02 [%] <   1.00 {   0.10 |   0.00 }      4 [#] =   0.00 [%] <   2.50 {   1.14 |   0.01 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   2.10     70   0.12       0.00        1.47  2.01e+06  2.93e+06 [#] =  1.00e+02 [%] <   1.00 {   0.12 |   0.00 }      9 [#] =   0.00 [%] <   2.50 {   1.18 |   0.03 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   2.40     80   0.13       0.01        1.71  2.01e+06  2.93e+06 [#] =  1.00e+02 [%] <   1.00 {   0.13 |   0.01 }     21 [#] =   0.00 [%] <   2.50 {   1.17 |   0.04 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   2.70     90   0.15       0.01        1.95  2.01e+06  2.93e+06 [#] =  1.00e+02 [%] <   1.00 {   0.15 |   0.01 }     62 [#] =   0.00 [%] <   2.50 {   1.13 |   0.03 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   3.00    100   0.17       0.01        2.17  2.01e+06  2.93e+06 [#] =  1.00e+02 [%] <   1.00 {   0.17 |   0.01 }    105 [#] =   0.00 [%] <   2.50 {   1.16 |   0.03 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   3.30    110   0.18       0.01        2.40  2.01e+06  2.93e+06 [#] =  99.99 [%] <   1.00 {   0.18 |   0.01 }    267 [#] =   0.01 [%] <   2.50 {   1.13 |   0.03 }      0 [#] =   0.00 [%]>=   2.50 {   0.00 |   0.00 }
   3.60    120   0.20       0.01        2.62  2.01e+06  2.93e+06 [#] =  99.98 [%] <   1.00 {   0.20 |   0.01 }    547 [#] =   0.02 [%] <   2.50 {   1.12 |   0.02 }      1 [#] =   0.00 [%]>=   2.50 {   2.62 |   0.00 }
   3.90    130   0.21       0.02        2.84  2.01e+06  2.93e+06 [#] =  99.97 [%] <   1.00 {   0.21 |   0.02 }   1019 [#] =   0.03 [%] <   2.50 {   1.12 |   0.02 }      2 [#] =   0.00 [%]>=   2.50 {   2.69 |   0.02 }
   4.20    140   0.23       0.02        3.05  2.01e+06  2.93e+06 [#] =  99.94 [%] <   1.00 {   0.23 |   0.02 }   1650 [#] =   0.06 [%] <   2.50 {   1.13 |   0.02 }      2 [#] =   0.00 [%]>=   2.50 {   2.89 |   0.03 }
   4.50    150   0.25       0.02        3.25  2.01e+06  2.93e+06 [#] =  99.91 [%] <   1.00 {   0.25 |   0.02 }   2518 [#] =   0.09 [%] <   2.50 {   1.14 |   0.02 }      2 [#] =   0.00 [%]>=   2.50 {   3.08 |   0.03 }
   4.80    160   0.26       0.02        3.44  2.01e+06  2.93e+06 [#] =  99.87 [%] <   1.00 {   0.26 |   0.02 }   3727 [#] =   0.13 [%] <   2.50 {   1.15 |   0.02 }      4 [#] =   0.00 [%]>=   2.50 {   2.94 |   0.12 }
   5.10    170   0.28       0.03        3.62  2.01e+06  2.93e+06 [#] =  99.82 [%] <   1.00 {   0.28 |   0.03 }   5322 [#] =   0.18 [%] <   2.50 {   1.15 |   0.03 }      7 [#] =   0.00 [%]>=   2.50 {   2.91 |   0.13 }
   5.40    180   0.29       0.03        3.77  2.01e+06  2.93e+06 [#] =  99.75 [%] <   1.00 {   0.29 |   0.03 }   7342 [#] =   0.25 [%] <   2.50 {   1.15 |   0.03 }     12 [#] =   0.00 [%]>=   2.50 {   2.93 |   0.12 }
