# Level force for level 45
# start: 0.0, 0.0, 206.0183537037037
# center: 0.0, 0.0, 208.33316666666667
# end: 0.0, 0.0, 210.64797962962962
# as part of FluidModelPart.Drag_structure
# Time Fx Fy Fz Mx My Mz Fx' Fy' Fz' Mx' My' Mz'
0.03 -594.55147471 12054.36891660 -0.49412663 4824.13587981 5468.38103955 131636.10956141 8103.31462432 8944.13738338 -0.49412663 7277.90850916 455.55012120 131636.10956141
0.06 -1755.93016164 34470.21610817 -1.29236953 13789.56170953 15569.19160365 376444.72695633 23132.49343447 25615.75368364 -1.29236953 20759.77355494 1258.38836613 376444.72695633
0.09 -3282.42035990 64738.00737664 -2.40643035 25883.57348300 29196.99072111 707026.19357148 43455.66232133 48097.70571172 -2.40643035 38947.84046031 2342.93979796 707026.19357148
0.12 -4885.86643638 99763.26395864 -3.83848874 39853.59093595 44996.52748875 1089589.14933403 67088.45116932 73998.10974759 -3.83848874 59998.09412259 3636.60531170 1089589.14933403
0.15 -6294.22662187 136160.63396974 -5.61749564 54335.73652802 61471.88404181 1487160.65564156 91829.41728402 100730.79793731 -5.61749564 81888.35381801 5046.01829854 1487160.65564156
0.18 -7357.74574582 170566.69236080 -7.82380022 67991.63890627 77103.98164588 1863001.77821900 115406.15290176 125811.57672400 -7.82380022 102598.09721289 6443.39934368 1863001.77821900
0.21 -8110.87786414 199939.61350913 -10.57958083 79634.38594653 90474.34170893 2183880.81599928 135643.39980101 147113.91327923 -10.57958083 120285.03486420 7665.00622736 2183880.81599928
0.24 -8759.22006120 221819.21911953 -13.98679130 88328.58303744 100390.46588266 2422915.38730056 150656.17013375 163043.57794011 -13.98679130 133444.51923048 8529.03915373 2422915.38730056
0.27 -9590.91360403 234526.03279461 -18.03868477 93455.72775633 106002.58842710 2561749.86116546 159053.14810667 172616.74820103 -18.03868477 141038.32793735 8871.97026291 2561749.86116546
0.30000000000000004 -10843.95050214 237283.74764699 -22.52129394 94742.87762345 106895.75170901 2591896.48284523 160117.11609163 175452.77796146 -22.52129394 142580.04215014 8593.37967680 2591896.48284523
0.33000000000000007 -12576.64345988 230256.38760539 -26.99838528 92258.87461934 103140.75803791 2515142.89255349 153922.82321224 171708.88296233 -26.99838528 138168.40529330 7694.65355736 2515142.89255349
0.3600000000000001 -14591.39613928 214498.69205655 -30.88368148 86385.31224397 95290.11178487 2343010.80402772 141355.80455177 161991.15486590 -30.88368148 128463.92430573 6296.64414048 2343010.80402772
0.3900000000000001 -16444.28171901 191826.30088225 -33.52603191 77768.14035162 84312.74029468 2095337.04594838 124013.81504851 147269.54127903 -33.52603191 114608.48980569 4627.73099988 2095337.04594838
0.42000000000000015 -17537.15699354 164619.65732656 -34.40394531 67256.87816198 71476.88828270 1798128.61449469 104003.03337935 128804.31864508 -34.40394531 98099.58703258 2983.99777304 1798128.61449469
0.4500000000000002 -17271.23324906 135581.43346951 -33.18889191 55831.07156790 58194.14392869 1480912.44263387 83657.94485942 108083.15715915 -33.18889191 80628.00310390 1670.94449075 1480912.44263387
0.4800000000000002 -15210.72643828 107472.18472032 -29.81571619 44519.07733804 45852.25356788 1173846.49255555 65238.70279339 86749.91841596 -29.81571619 63902.18090842 942.69795264 1173846.49255555
0.5100000000000002 -11211.25553443 82850.34682096 -24.50206722 34312.21953840 35660.90977081 904878.56453264 50656.48724675 66511.59687477 -24.50206722 49478.47423538 953.66800906 904878.56453264
0.5400000000000003 -5480.28533604 63841.72460842 -17.72968324 26080.53035836 28531.09059333 697227.50852889 41267.76946931 49018.06331721 -17.72968324 38616.24750653 1732.80775985 697227.50852889
0.5700000000000003 1439.81228189 51959.65727127 -10.19907673 20497.81966041 24999.68198087 567419.07969287 37759.12703281 35722.92497649 -10.19907673 32171.59193759 3183.29737477 567419.07969287
0.6000000000000003 8753.74488012 47991.09449821 -2.74808551 17984.28503990 25202.24610858 524041.81623648 40124.66072175 27744.99599074 -2.74808551 30537.48903101 5103.86921801 524041.81623648
0.6300000000000003 15535.01898016 51956.03184189 3.73731631 18673.31778733 28889.59989144 567306.09128899 47723.37970568 25753.54517221 3.73731631 33632.06162368 7224.00235434 567306.09128899
0.6600000000000004 20861.18558423 63140.42204741 8.41995524 22406.17519137 35481.10013049 689403.89516711 59398.10638690 29895.93480651 8.41995524 40932.48492450 9245.36808796 689403.89516711
0.6900000000000004 23940.16929994 80195.01232059 10.59745925 28754.29182297 44144.64685499 875590.64735916 73634.69308397 39778.18097449 10.59745925 51547.33388049 10882.62440802 875590.64735916
0.7200000000000004 24216.42712900 101287.64725016 9.79513925 37065.50418898 53895.38933613 1105851.97738425 88744.78206004 54497.58238199 9.79513925 64319.06463439 11900.52591414 1105851.97738425
